time,seconds_elapsed,z,y,x
1686205071753508900,429.9285087890625,-183.0731964111328,0.328765869140625,-26.307281494140625
1686205081751312000,439.9263117675781,-186.55230712890625,6.1033172607421875,-22.403182983398438
1686205091749437700,449.9244377441406,-188.4810028076172,6.001617431640625,-21.573089599609375
1686205101748075800,459.92307568359377,-209.44644165039062,5.80902099609375,-26.114639282226562
1686205111746906600,469.9219067382812,-167.1426239013672,37.816864013671875,-52.9130859375
1686205121744936400,479.9199365234375,-181.84364318847656,-23.302078247070312,-22.42547607421875
1686205131743064800,489.91806494140627,-165.16847229003906,-56.40824890136719,8.889816284179688
1686205141742102300,499.91710229492185,-208.9407196044922,70.78587341308594,-35.42649841308594
1686205151741401900,509.91640185546873,-200.12347412109375,22.572845458984375,-11.91302490234375
1686205161740419800,519.915419921875,-168.1410675048828,-7.7584075927734375,9.645950317382812
1686205171738343700,529.91334375,-181.61216735839844,15.716796875,-14.6893310546875
1686205181736159200,539.9111591796875,-188.8463592529297,26.511306762695312,-53.85731506347656
1686205191733660700,549.9086606445312,-180.63893127441406,36.241912841796875,-32.85838317871094
1686205201731848400,559.9068483886718,-177.29539489746094,18.447723388671875,38.47454833984375
1686205211729191000,569.9041909179688,-206.21888732910156,27.21441650390625,36.409332275390625
1686205221725805300,579.9008054199219,-170.98648071289062,10.76708984375,-3.5804443359375
1686205231723129600,589.8981296386719,-183.05935668945312,-24.7186279296875,2.86639404296875
1686205241720422000,599.895421875,-202.96266174316406,-54.786956787109375,-13.890213012695312
1686205251718360300,609.8933603515625,-225.5747528076172,-62.95841979980469,-18.797119140625
1686205261716259600,619.8912595214844,-197.1786651611328,-42.36834716796875,-11.416122436523438
1686205271714045000,629.889044921875,-185.37452697753906,-49.97273254394531,0.786590576171875
1686205281711415600,639.8864155273437,-197.76522827148438,-54.81636047363281,-11.307052612304688
1686205291708380000,649.8833798828125,-187.44020080566406,-50.36064147949219,-13.056869506835938
1686205301705971700,659.8809716796875,-184.49200439453125,-39.78131103515625,-20.203231811523438
1686205311702630700,669.8776306152344,-183.6222686767578,-41.30570983886719,-14.644149780273438
1686205321698820600,679.8738205566407,-179.58546447753906,-36.197357177734375,-22.953765869140625
1686205331694371800,689.8693718261719,-180.14816284179688,-33.64971923828125,-24.395828247070312
1686205341690868700,699.8658686523438,-181.5395965576172,-41.69242858886719,-18.55072021484375
1686205351686605000,709.8616049804688,-181.53524780273438,-41.49244689941406,-20.247055053710938
1686205361682597000,719.8575971679687,-218.75729370117188,-2.9485626220703125,-24.507369995117188
1686205371677837800,729.852837890625,-178.6147918701172,-40.01307678222656,-6.9033660888671875
1686205381682399000,739.8573989257812,-195.54258728027344,-47.32786560058594,-32.657196044921875
1686205391686564400,749.861564453125,-198.75631713867188,-48.5511474609375,-35.088531494140625
1686205401691370500,759.8663706054688,-194.42491149902344,-48.55851745605469,-32.77082824707031
1686205411696352000,769.8713520507813,-226.6182403564453,-14.093551635742188,-27.7100830078125
1686205421700824300,779.87582421875,-188.88250732421875,13.259658813476562,-32.43132019042969
1686205431704896800,789.8798967285156,-213.40126037597656,-6.075103759765625,-25.327239990234375
1686205441709386200,799.8843862304687,-205.33013916015625,-26.262435913085938,-7.410858154296875
1686205451713667000,809.8886669921875,-190.79180908203125,-89.00614929199219,51.73164367675781
1686205461708817000,819.8838168945313,-226.27001953125,7.4765167236328125,-14.277435302734375
1686205471704145000,829.8791447753906,-262.65106201171875,-17.352584838867188,3.2987213134765625
1686205481709036500,839.8840366210937,-254.61744689941406,-8.469161987304688,0.6944732666015625
1686205491705086700,849.8800866699219,-239.53961181640625,-9.388214111328125,-6.77752685546875
1686205501700127500,859.8751274414062,-239.58908081054688,-12.83642578125,-22.856094360351562
1686205511704334800,869.8793349609375,-220.69219970703125,14.48773193359375,-9.237991333007812
1686205521700173300,879.8751733398437,-215.930419921875,31.7440185546875,-20.490966796875
1686205531695498000,889.870498046875,-225.77745056152344,113.38380432128906,1.9405975341796875
1686205541690667500,899.8656674804688,-232.43026733398438,88.29945373535156,10.332366943359375
1686205551695388400,909.8703884277344,-248.73776245117188,85.94229125976562,12.246109008789062
1686205561691271400,919.866271484375,-235.0155792236328,16.036239624023438,-14.285781860351562
1686205571686887700,929.8618876953125,-240.30606079101562,32.73931884765625,-14.017105102539062
1686205581682895400,939.8578952636718,-233.0117645263672,-21.956634521484375,-20.962417602539062
1686205591679260700,949.8542607421875,-136.51890563964844,-273.1947326660156,4.61444091796875
1686205601674931700,959.849931640625,-220.71859741210938,-17.65838623046875,-5.8158416748046875
1686205611670928000,969.8459279785156,-219.0057830810547,-29.600799560546875,5.6444549560546875
1686205621668011500,979.8430114746094,-196.7235107421875,-23.52484130859375,-22.500595092773438
1686205631664193300,989.839193359375,-248.89169311523438,-55.04603576660156,11.579513549804688
1686205641660952000,999.8359521484375,-232.33984375,32.34111022949219,5.7303009033203125
1686205651656957400,1009.8319575195312,-229.52418518066406,41.173858642578125,-5.2856903076171875
1686205661653266000,1019.8282658691406,-256.2431640625,-38.885406494140625,-8.54541015625
1686205671649642200,1029.8246423339845,-262.12646484375,-29.095123291015625,-34.01806640625
1686205681645516300,1039.8205163574219,-275.4405517578125,-28.330963134765625,-13.620407104492188
1686205691642066400,1049.81706640625,-257.68841552734375,-29.87738037109375,-2.1051483154296875
1686205701639102700,1059.8141027832032,-197.7374725341797,15.949432373046875,-4.7095794677734375
1686205711636032000,1069.8110319824218,-185.8942108154297,-7.574981689453125,-16.042739868164062
1686205721633028600,1079.808028564453,-188.2386474609375,12.44207763671875,-21.512557983398438
1686205731630901500,1089.8059016113282,-194.5751953125,-10.000152587890625,-34.60313415527344
1686205741629197600,1099.8041975097656,-183.26670837402344,12.776138305664062,-50.25822448730469
1686205751627182800,1109.8021828613282,-200.1480712890625,20.62420654296875,-16.21331787109375
1686205761625549000,1119.8005490722655,-192.76039123535156,4.2913055419921875,-14.8551025390625
1686205771623686000,1129.7986857910157,-192.53073120117188,-8.425796508789062,-6.460113525390625
1686205781622687700,1139.7976877441406,-232.0264129638672,16.668914794921875,-19.679733276367188
1686205791620485400,1149.7954853515625,-238.94776916503906,34.74481201171875,-9.23834228515625
1686205801618605800,1159.7936057128907,-197.53341674804688,-21.43359375,-17.789352416992188
1686205811617174500,1169.792174560547,-205.23895263671875,-7.7743377685546875,-12.006149291992188
1686205821615397000,1179.790397216797,-226.56768798828125,-15.526382446289062,-44.82405090332031
1686205831613122800,1189.7881228027343,-226.96533203125,2.2349090576171875,-26.022964477539062
1686205841611537400,1199.7865373535155,-232.4945068359375,-3.435943603515625,-21.291152954101562
1686205851610352600,1209.7853525390624,-243.2359619140625,-4.914581298828125,-32.22911071777344
1686205861609565700,1219.7845656738282,-211.32345581054688,3.90380859375,-40.6611328125
1686205871608146400,1229.783146484375,-193.90187072753906,-2.4917755126953125,-21.31085205078125
1686205881606795300,1239.7817951660156,-197.6654052734375,11.61077880859375,-41.68006896972656
1686205891606518000,1249.7815180664063,-187.96865844726562,14.937591552734375,-40.06489562988281
1686205901605774000,1259.7807741699219,-199.21591186523438,17.790664672851562,-50.39622497558594
1686205911605169000,1269.7801689453124,-197.01539611816406,10.20208740234375,-36.9161376953125
1686205921604957700,1279.779957763672,-188.98143005371094,39.80253601074219,-40.926727294921875
1686205931605086000,1289.7800859375,-219.94537353515625,52.42143249511719,-42.881988525390625
1686205941605044500,1299.7800444335937,-186.34402465820312,0.8331756591796875,-38.642425537109375
1686205951605047600,1309.780047607422,-188.90185546875,-0.6607818603515625,-25.220657348632812
1686205961606030300,1319.7810302734374,-204.8944091796875,9.06341552734375,-25.231201171875
1686205971606286800,1329.7812868652343,-211.41824340820312,7.83648681640625,-34.2135009765625
1686205981606047000,1339.781046875,-197.76112365722656,9.940872192382812,-32.21990966796875
1686205991605548000,1349.7805480957031,-186.90492248535156,-2.3658599853515625,-33.167449951171875
1686206001605542000,1359.7805419921874,-191.2740936279297,-2.83575439453125,-31.790664672851562
1686206011605426000,1369.7804260253906,-195.15402221679688,0.1737518310546875,-31.147659301757812
1686206021604710000,1379.7797099609375,-192.22714233398438,7.680572509765625,-27.7169189453125
1686206031604270300,1389.7792702636718,-195.0461883544922,4.526947021484375,-33.62260437011719
1686206041603825400,1399.7788254394532,-191.52984619140625,2.0147857666015625,-35.0787353515625
1686206051603777000,1409.7787770996094,-172.11080932617188,-1.281341552734375,-9.214675903320312
1686206061603510800,1419.7785107421876,-190.65919494628906,12.376144409179688,-1.9010467529296875
