startDate,endDate,value
2023-06-09 18:25:23 +0000,2023-06-09 18:25:23 +0000,101
2023-06-09 18:25:28 +0000,2023-06-09 18:25:28 +0000,105
2023-06-09 18:25:34 +0000,2023-06-09 18:25:34 +0000,95
2023-06-09 18:25:42 +0000,2023-06-09 18:25:42 +0000,107
2023-06-09 18:25:47 +0000,2023-06-09 18:25:47 +0000,106
2023-06-09 18:25:50 +0000,2023-06-09 18:25:50 +0000,106
2023-06-09 18:25:54 +0000,2023-06-09 18:25:54 +0000,107
2023-06-09 18:25:58 +0000,2023-06-09 18:25:58 +0000,110
2023-06-09 18:26:07 +0000,2023-06-09 18:26:07 +0000,104
2023-06-09 18:26:09 +0000,2023-06-09 18:26:09 +0000,105
2023-06-09 18:26:13 +0000,2023-06-09 18:26:13 +0000,106
2023-06-09 18:26:19 +0000,2023-06-09 18:26:19 +0000,104
2023-06-09 18:32:12 +0000,2023-06-09 18:32:12 +0000,95
2023-06-10 07:40:26 +0000,2023-06-10 07:40:26 +0000,81
2023-06-10 07:42:47 +0000,2023-06-10 07:42:47 +0000,93
2023-06-10 07:45:09 +0000,2023-06-10 07:45:09 +0000,86
2023-06-10 07:47:49 +0000,2023-06-10 07:47:49 +0000,95
2023-06-10 07:50:11 +0000,2023-06-10 07:50:11 +0000,93
2023-06-10 07:50:35 +0000,2023-06-10 07:50:35 +0000,89
2023-06-10 07:52:19 +0000,2023-06-10 07:52:19 +0000,91
2023-06-10 07:52:23 +0000,2023-06-10 07:52:23 +0000,90
2023-06-10 07:52:27 +0000,2023-06-10 07:52:27 +0000,90
2023-06-10 07:52:34 +0000,2023-06-10 07:52:34 +0000,87
2023-06-10 07:52:37 +0000,2023-06-10 07:52:37 +0000,86
2023-06-10 07:52:43 +0000,2023-06-10 07:52:43 +0000,88
2023-06-10 07:52:49 +0000,2023-06-10 07:52:49 +0000,86
2023-06-10 07:52:53 +0000,2023-06-10 07:52:53 +0000,86
2023-06-10 07:52:55 +0000,2023-06-10 07:52:55 +0000,86
2023-06-10 07:53:03 +0000,2023-06-10 07:53:03 +0000,81
2023-06-10 07:53:08 +0000,2023-06-10 07:53:08 +0000,86
2023-06-10 07:53:10 +0000,2023-06-10 07:53:10 +0000,87
2023-06-10 07:53:19 +0000,2023-06-10 07:53:19 +0000,85
2023-06-10 07:53:24 +0000,2023-06-10 07:53:24 +0000,84
2023-06-10 07:53:29 +0000,2023-06-10 07:53:29 +0000,85
2023-06-10 07:53:31 +0000,2023-06-10 07:53:31 +0000,85
2023-06-10 07:53:35 +0000,2023-06-10 07:53:35 +0000,85
2023-06-10 07:53:44 +0000,2023-06-10 07:53:44 +0000,88
2023-06-10 07:53:49 +0000,2023-06-10 07:53:49 +0000,88
2023-06-10 07:53:52 +0000,2023-06-10 07:53:52 +0000,88
2023-06-10 07:53:55 +0000,2023-06-10 07:53:55 +0000,88
2023-06-10 07:54:04 +0000,2023-06-10 07:54:04 +0000,90
2023-06-10 07:54:09 +0000,2023-06-10 07:54:09 +0000,89
2023-06-10 07:54:11 +0000,2023-06-10 07:54:11 +0000,89
2023-06-10 07:54:15 +0000,2023-06-10 07:54:15 +0000,88
2023-06-10 07:54:24 +0000,2023-06-10 07:54:24 +0000,91
2023-06-10 07:54:25 +0000,2023-06-10 07:54:25 +0000,91
2023-06-10 07:54:30 +0000,2023-06-10 07:54:30 +0000,90
2023-06-10 07:54:39 +0000,2023-06-10 07:54:39 +0000,90
2023-06-10 07:54:44 +0000,2023-06-10 07:54:44 +0000,89
2023-06-10 07:54:45 +0000,2023-06-10 07:54:45 +0000,89
2023-06-10 07:54:54 +0000,2023-06-10 07:54:54 +0000,83
2023-06-10 07:54:58 +0000,2023-06-10 07:54:58 +0000,83
2023-06-10 07:55:03 +0000,2023-06-10 07:55:03 +0000,83
2023-06-10 07:55:07 +0000,2023-06-10 07:55:07 +0000,81
2023-06-10 07:55:10 +0000,2023-06-10 07:55:10 +0000,82
2023-06-10 07:55:16 +0000,2023-06-10 07:55:16 +0000,85
2023-06-10 07:55:22 +0000,2023-06-10 07:55:22 +0000,82
2023-06-10 07:55:28 +0000,2023-06-10 07:55:28 +0000,86
2023-06-10 07:55:33 +0000,2023-06-10 07:55:33 +0000,86
2023-06-10 07:55:35 +0000,2023-06-10 07:55:35 +0000,86
2023-06-10 07:55:40 +0000,2023-06-10 07:55:40 +0000,85
2023-06-10 07:55:49 +0000,2023-06-10 07:55:49 +0000,79
2023-06-10 07:55:50 +0000,2023-06-10 07:55:50 +0000,79
2023-06-10 07:55:57 +0000,2023-06-10 07:55:57 +0000,76
2023-06-10 07:56:04 +0000,2023-06-10 07:56:04 +0000,81
2023-06-10 07:56:05 +0000,2023-06-10 07:56:05 +0000,81
2023-06-10 07:56:10 +0000,2023-06-10 07:56:10 +0000,85
2023-06-10 07:56:19 +0000,2023-06-10 07:56:19 +0000,86
2023-06-10 07:56:23 +0000,2023-06-10 07:56:23 +0000,86
2023-06-10 07:56:25 +0000,2023-06-10 07:56:25 +0000,88
2023-06-10 07:56:34 +0000,2023-06-10 07:56:34 +0000,92
2023-06-10 07:56:39 +0000,2023-06-10 07:56:39 +0000,86
2023-06-10 07:56:42 +0000,2023-06-10 07:56:42 +0000,86
2023-06-10 07:56:47 +0000,2023-06-10 07:56:47 +0000,88
2023-06-10 07:56:53 +0000,2023-06-10 07:56:53 +0000,87
2023-06-10 07:56:58 +0000,2023-06-10 07:56:58 +0000,88
2023-06-10 07:57:01 +0000,2023-06-10 07:57:01 +0000,89
2023-06-10 07:57:09 +0000,2023-06-10 07:57:09 +0000,90
2023-06-10 07:57:14 +0000,2023-06-10 07:57:14 +0000,93
2023-06-10 07:57:19 +0000,2023-06-10 07:57:19 +0000,93
2023-06-10 07:57:24 +0000,2023-06-10 07:57:24 +0000,91
2023-06-10 07:57:25 +0000,2023-06-10 07:57:25 +0000,91
2023-06-10 07:57:34 +0000,2023-06-10 07:57:34 +0000,83
2023-06-10 07:57:35 +0000,2023-06-10 07:57:35 +0000,83
2023-06-10 07:57:44 +0000,2023-06-10 07:57:44 +0000,79
2023-06-10 07:57:49 +0000,2023-06-10 07:57:49 +0000,79
