,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z,pca_1,pca_2,pca_3,pca_4
2023-06-10 09:18:13.078849500,0.927215579340008,0.5061278759541586,-0.2601890796213809,-0.26926473778770105,-0.20098402516869987,-0.09225740120970197,77.78571428571429,1.005,1,0,0,0,0,-84.60434626168234,-24.749747668175125,-205.1832787262051,-0.20933266142048837,-0.03773783661159973,-0.49001996083563626,-0.026624933664594938
2023-06-10 09:18:13.578849500,0.8813018324228505,0.5832003589422208,-0.2982588730838485,-0.1669211043275228,-0.15148617055773195,-0.0008372878372911735,78.14285714285714,1.19,1,0,0,0,0,-82.74672257735642,-23.99707328806254,-210.5400803308868,-0.21980111069328476,-0.03218711971141268,-0.4925909024498941,-0.021590107716517922
2023-06-10 09:18:14.078849500,0.8705994065071617,0.6066491038693639,-0.3429203218341183,0.065887110155551,-0.003925413440805555,0.11123663288503319,78.5,1.19,1,0,0,0,0,-81.44795534497321,-25.118692474707398,-214.73326173580796,-0.20763610955342,-0.037514603198389736,-0.5043434443522347,-0.011698593277620382
2023-06-10 09:18:14.578849500,0.9154853374852153,0.5719603977002794,-0.3772178109240904,0.17076239683947367,0.19035172741283699,0.11654391294954232,78.85714285714286,1.19,1,0,0,0,0,-81.35115021618448,-28.4035594082389,-216.22859178721586,-0.17574626852301045,-0.03481176157475407,-0.5203236978892603,-0.015081355454851494
2023-06-10 09:18:15.078849500,0.9842948283875648,0.5445913063939353,-0.3683545790842737,0.10484329174992772,0.3542181178992801,-0.05168396808416658,79.21428571428571,1.285,1,0,0,0,0,-82.18236232411108,-30.9070464855495,-214.32682301656828,-0.16276233103274437,-0.016831770257024817,-0.5263788352123976,-0.028924026297160153
2023-06-10 09:18:15.578849500,1.025900355733373,0.5769023165806928,-0.3114454382954763,0.0673730504642888,0.3569548906200707,-0.26104921021925376,79.57142857142857,1.38,1,0,0,0,0,-83.5525692927283,-29.700830443287842,-210.0357895673005,-0.1953467803246214,0.0021293248816660476,-0.5136196959777046,-0.03472087526116024
2023-06-10 09:18:16.078849500,1.0247174137581814,0.6393203116810332,-0.2579554845489531,0.1427948468680556,0.16037700929152554,-0.2815324634614046,79.92857142857143,1.455,1,0,0,0,0,-85.5857582796119,-26.456276674446755,-206.3204738682666,-0.24305028896451872,0.010513092183008858,-0.48865681774867636,-0.0336488059407452
2023-06-10 09:18:16.578849500,1.003951619075104,0.6557186600775163,-0.26555122860246066,0.11754849570073701,-0.03296550154346427,-0.04485692015183081,80.28571428571429,1.53,1,0,0,0,0,-88.1920448005396,-26.30063493566054,-206.0909627337484,-0.2453216369041501,0.006810324237987647,-0.4674819896094758,-0.0404554955405792
2023-06-10 09:18:17.078849500,0.9842009776399762,0.5977215272805249,-0.31785332158846386,-0.2070311222625642,0.0368276333881663,0.25925589848828623,80.64285714285714,1.53,1,0,0,0,0,-90.07606944367939,-31.53821828969357,-209.52289509222237,-0.18575166259607373,-0.004799822399714913,-0.45979773866464274,-0.05481556797482415
2023-06-10 09:18:17.578849500,0.9664167884618509,0.5209797554141995,-0.33120667410678406,-0.655963576922702,0.313356011844937,0.38016769443551457,81.0,1.53,1,0,0,0,0,-89.57585133602524,-38.50050236049238,-214.11539467458886,-0.11766555999060661,-0.004052411825887199,-0.4614672284692574,-0.07097348333288217
