,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 09:41:31.578849500,0.30600983,0.8575522,0.34717834,0.44780502,0.087969206,0.18472926,,0.0,0,0,0,1,0,-132.78326,5.778111,-185.314
2023-06-10 09:41:32.078849500,0.31984136,0.952392,0.18169543,0.01972849,-0.0041365502,-0.07725836,,,0,0,0,1,0,-133.62727,10.390744,-191.30165
2023-06-10 09:41:32.578849500,0.34043425,0.90492857,0.28537843,-0.2280764,0.22530197,0.06859667,,0.12799124,0,0,0,1,0,-134.52792,8.89991,-189.2949
2023-06-10 09:41:33.078849500,0.33094147,0.8552338,0.33790925,0.13035865,0.0044134287,0.14301561,,,0,0,0,1,0,-133.75117,8.407066,-188.0803
2023-06-10 09:41:33.578849500,0.38972285,0.87145686,0.29934755,-0.06001672,-0.061068974,-0.056795318,,0.09660175,0,0,0,1,0,-132.44543,9.062716,-188.77654
2023-06-10 09:41:34.078849500,0.35992554,0.8781882,0.3132608,0.005786996,0.028924437,-0.012863297,,,0,0,0,1,0,-133.3697,8.312598,-187.7614
2023-06-10 09:41:34.578849500,0.3494098,0.87468994,0.33234346,-0.013048826,0.021238508,0.0043258755,,0.0,0,0,0,1,0,-133.7426,8.311663,-187.55377
2023-06-10 09:41:35.078849500,0.3600218,0.87708265,0.32069615,0.025921702,0.0018700715,0.0036197738,,,0,0,0,1,0,-133.57977,8.355512,-187.44719
2023-06-10 09:41:35.578849500,0.35714263,0.8773438,0.32018128,-0.012896778,-0.014413587,-0.014182649,,0.0,0,0,0,1,0,-133.70425,8.430695,-187.78181
2023-06-10 09:41:36.078849500,0.3583783,0.8725238,0.32960814,0.0256113,0.041016497,0.038379222,,,0,0,0,1,0,-133.64337,8.287596,-187.36833
2023-06-10 09:41:36.578849500,0.36564854,0.8755244,0.31971896,-0.01635191,-0.01062858,-0.04462845,81.0,0.0,0,0,0,1,0,-133.59735,8.522653,-188.05032
2023-06-10 09:41:37.078849500,0.3416565,0.8782779,0.33424592,0.016171785,0.029667815,0.0026068054,,,0,0,0,1,0,-134.42676,8.14839,-187.4116
2023-06-10 09:41:37.578849500,0.34413543,0.87640715,0.3348883,0.0007826285,0.01485173,-0.0013538232,,0.0,0,0,0,1,0,-134.5279,8.111007,-187.59628
2023-06-10 09:41:38.078849500,0.3436734,0.8767965,0.33326036,0.00049727614,-0.025558118,-0.012333999,,,0,0,0,1,0,-134.43216,8.215421,-187.68549
2023-06-10 09:41:38.578849500,0.3436313,0.879866,0.33215272,-0.018236985,-0.014785898,-0.01912599,,0.0,0,0,0,1,0,-134.32796,7.844155,-186.99883
2023-06-10 09:41:39.078849500,0.34069294,0.8767672,0.3362489,0.011638387,-0.0080243815,0.0071446914,,,0,0,0,1,0,-134.26941,7.7920356,-186.9489
2023-06-10 09:41:39.578849500,0.34625274,0.877666,0.33199218,0.009743382,0.01125536,0.004207523,,0.0,0,0,0,1,0,-134.11407,7.824779,-187.13986
2023-06-10 09:41:40.078849500,0.3462024,0.8776428,0.33119294,0.010026622,0.005035391,0.0042381817,,,0,0,0,1,0,-134.13202,8.06826,-187.38216
2023-06-10 09:41:40.578849500,0.34701756,0.8767585,0.33171237,0.003792384,0.00868917,0.0012680535,,0.0,0,0,0,1,0,-134.10153,8.165853,-187.48547
2023-06-10 09:41:41.078849500,0.3486136,0.8768103,0.33125123,0.0056590415,0.003060691,-0.0013392824,,,0,0,0,1,0,-134.07472,8.098337,-187.45775
2023-06-10 09:41:41.578849500,0.34876192,0.87668395,0.33124083,0.007950009,0.0007204068,-0.00011092337,,0.0,0,0,0,1,0,-134.25969,7.988778,-187.31139
2023-06-10 09:41:42.078849500,0.34921607,0.8767118,0.3306673,0.0047025937,0.0045574675,0.0007770518,,,0,0,0,1,0,-134.22542,7.9339137,-187.3877
2023-06-10 09:41:42.578849500,0.34886718,0.87659454,0.33218262,-0.0020455688,0.0019127622,-0.0059918193,75.0,0.0,0,0,0,1,0,-134.20422,7.946662,-187.49982
2023-06-10 09:41:43.078849500,0.3435556,0.87479705,0.33627838,0.006517261,0.003438804,-0.0022430066,,,0,0,0,1,0,-134.43715,7.970496,-187.44199
2023-06-10 09:41:43.578849500,0.35602212,0.8748452,0.33017373,-0.0044161337,-0.010541218,-0.0014683977,,0.0,0,0,0,1,0,-133.8741,7.71294,-187.0555
2023-06-10 09:41:44.078849500,0.3494876,0.8756934,0.33433747,0.02765362,0.03544578,0.016048437,,,0,0,0,1,0,-133.96709,7.8316364,-187.26071
