,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 10:22:45.078849500,-0.03753693,0.99734,0.0043550744,0.008159054,0.008218379,-0.00036460807,90.0,0,1,0,0,0,-117.70769,6.2267675,-220.54982
2023-06-10 10:22:46.078849500,-0.037542477,0.99758416,-0.0001636852,0.0079290345,-0.00048586554,-0.0026171529,90.14285714285714,0,1,0,0,0,-117.64154,6.15921,-220.59802
2023-06-10 10:22:47.078849500,-0.039201677,0.9972955,0.0024659128,4.234696e-05,0.0013884995,-0.0006311987,90.28571428571429,0,1,0,0,0,-117.790955,6.1926637,-220.69415
2023-06-10 10:22:48.078849500,-0.037493896,0.99760836,0.0047189333,0.003340323,0.013200898,-0.0017198694,90.42857142857143,0,1,0,0,0,-117.84126,6.129907,-220.50652
2023-06-10 10:22:49.078849500,-0.038548324,0.997181,0.0075728293,0.005437774,-9.252729e-05,-0.0009946261,90.57142857142857,0,1,0,0,0,-117.88264,6.2763424,-220.37326
2023-06-10 10:22:50.078849500,-0.03835921,0.9975757,0.0047001694,0.0040464364,0.0073425607,-0.0014506723,90.71428571428571,0,1,0,0,0,-117.81032,6.043238,-220.39767
2023-06-10 10:22:51.078849500,-0.038916167,0.9974089,0.009231567,0.0015513899,0.0004206463,-0.0020802617,90.85714285714286,0,1,0,0,0,-117.861496,6.083561,-220.12106
2023-06-10 10:22:52.078849500,-0.03854771,0.9972779,0.010301378,0.0033955895,0.007297782,0.000705544,91.0,0,1,0,0,0,-117.8751,6.1267843,-220.02908
2023-06-10 10:22:53.078849500,-0.036434907,0.99741477,0.014037316,0.008326828,0.00602379,0.00038030747,90.5,0,1,0,0,0,-117.85011,6.2742968,-219.92644
2023-06-10 10:22:54.078849500,-0.036403198,0.9974167,0.0064482116,0.009106008,0.0036168764,-0.002317954,90.0,0,1,0,0,0,-117.80669,6.2714767,-220.12035
2023-06-10 10:22:55.078849500,-0.036922418,0.99748,0.0040784124,0.0070752306,0.0031447008,-0.002241911,90.6,0,1,0,0,0,-117.82436,6.281013,-220.27228
2023-06-10 10:22:56.078849500,-0.04064402,0.99773586,0.00399025,0.0039980584,-0.01853904,-0.0069063674,91.2,0,1,0,0,0,-117.991516,6.3351765,-220.53813
2023-06-10 10:22:57.078849500,-0.039176024,0.9963235,0.013912506,-0.010364894,-0.005936619,0.002327955,91.8,0,1,0,0,0,-118.1223,6.2593613,-220.47298
2023-06-10 10:22:58.078849500,-0.03516026,0.99794734,0.01636852,0.012407508,0.013714529,0.0034342022,92.4,0,1,0,0,0,-118.17814,6.3041377,-220.26706
2023-06-10 10:22:59.078849500,-0.035329644,0.997656,0.009782887,0.00999186,0.009837841,0.0009027148,93.0,0,1,0,0,0,-118.005394,6.346032,-220.37604
2023-06-10 10:23:00.078849500,-0.032966003,0.99772674,0.0072416686,0.0058839344,0.009675595,-0.0016720939,93.25,0,1,0,0,0,-117.79932,6.215308,-220.33499
2023-06-10 10:23:01.078849500,-0.033793595,0.9975026,0.0076545174,0.004891657,-0.0051083374,-0.0013034309,93.5,0,1,0,0,0,-117.82846,6.2457104,-220.35207
2023-06-10 10:23:02.078849500,-0.035024468,0.99734914,0.011712276,-0.009467371,-0.004078981,-0.0021240565,93.75,0,1,0,0,0,-117.9234,6.3743644,-220.22314
2023-06-10 10:23:03.078849500,-0.032324895,0.9971119,0.02411798,0.006297706,0.014995222,-0.0014812179,94.0,0,1,0,0,0,-117.8686,6.4465513,-219.45164
2023-06-10 10:23:04.078849500,-0.03566864,0.9979286,0.019120635,0.0025306847,0.024502536,0.00011071825,94.6,0,1,0,0,0,-117.72451,6.2925725,-219.40034
2023-06-10 10:23:05.078849500,-0.034312394,0.99480754,0.027486011,-0.027797004,0.17017557,-0.0090383245,95.2,0,1,0,0,0,-117.706154,6.4667835,-218.39267
2023-06-10 10:23:06.078849500,-0.07392868,1.0078673,0.08398792,-0.2822064,0.32266098,-0.08916584,95.8,0,1,0,0,0,-121.80389,6.087822,-213.5792
2023-06-10 10:23:07.078849500,-0.0880365,0.8589038,0.3747255,-0.18654239,0.66985834,0.7091683,96.4,0,1,0,0,0,-120.40831,-3.2690384,-197.3969
2023-06-10 10:23:08.078849500,0.1834985,0.9999026,0.20130104,0.11622176,-0.7413087,-0.2577271,97.0,0,1,0,0,0,-111.621124,-2.6771865,-203.19733
2023-06-10 10:23:09.078849500,0.09594434,0.94595987,0.25913432,-0.0064475155,-0.77461827,-0.062111363,97.6,0,1,0,0,0,-109.116615,0.7628575,-215.26903
2023-06-10 10:23:10.078849500,0.33340743,0.9442244,-0.011695404,-0.021127757,-0.54647243,-0.015452997,98.2,0,1,0,0,0,-107.81219,-1.3320101,-228.60043
2023-06-10 10:23:11.078849500,0.37935814,0.93156636,0.015311809,0.011145866,0.13454795,0.15234488,98.8,0,1,0,0,0,-107.05761,-1.8354434,-229.89555
2023-06-10 10:23:12.078849500,0.35068503,0.9332121,0.012969354,-0.02231908,-0.22839163,-0.0893209,99.4,0,1,0,0,0,-107.19786,-1.4529802,-229.09554
2023-06-10 10:23:13.078849500,0.28170884,0.9785979,-0.020589905,-0.20475061,0.09169222,-0.22121209,100.0,0,1,0,0,0,-112.5098,0.30371535,-230.58354
2023-06-10 10:23:14.078849500,0.23073955,0.9823963,-0.020153161,0.24611123,0.18674129,0.1440089,99.22222222222223,0,1,0,0,0,-109.56059,-0.44809267,-229.09964
2023-06-10 10:23:15.078849500,0.25498638,0.9651318,-0.02685809,-0.005020239,-0.022368686,-0.0047845733,98.44444444444444,0,1,0,0,0,-109.39212,-0.70194334,-229.24817
2023-06-10 10:23:16.078849500,0.2580246,0.96643007,-0.030252686,0.0029778953,0.01667178,0.013762044,97.66666666666667,0,1,0,0,0,-109.323616,-0.83186644,-229.31177
2023-06-10 10:23:17.078849500,0.257712,0.9652813,-0.006137424,-0.09875785,-0.027827075,-0.004278275,96.88888888888889,0,1,0,0,0,-108.5839,-0.74607974,-228.47298
2023-06-10 10:23:18.078849500,0.3967809,0.8644549,0.19681433,-0.561525,-0.7078144,0.17469946,96.11111111111111,0,1,0,0,0,-107.41194,1.3121768,-222.65948
2023-06-10 10:23:19.078849500,0.3446404,0.9385988,0.13462105,0.6240994,0.84321725,-0.5507602,95.33333333333333,0,1,0,0,0,-109.61143,1.6786429,-224.88507
2023-06-10 10:23:20.078849500,0.22834106,0.97302157,0.03745575,-0.048434485,-0.19368349,1.0266017,94.55555555555556,0,1,0,0,0,-108.16481,-0.7939669,-224.10985
2023-06-10 10:23:21.078849500,0.015373461,0.7220573,-0.20565473,0.73816013,1.4524285,-1.0491616,93.77777777777777,0,1,0,0,0,-112.63923,-4.2753167,-231.47198
2023-06-10 10:23:22.078849500,-0.121164806,-0.28838432,-0.8430859,-0.115219064,-1.0844418,-3.4399693,93.0,0,1,0,0,0,-141.29547,-45.277077,-248.52629
2023-06-10 10:23:23.078849500,0.14220734,-0.32206985,-0.9176152,0.29399762,-0.69937444,-1.247562,94.0,0,1,0,0,0,-114.05098,-57.723576,-239.94856
2023-06-10 10:23:24.078849500,-0.031894106,-0.52002233,-0.8675403,-0.023024293,0.613401,1.1646143,95.33333333333333,0,1,0,0,0,-114.73512,-55.752804,-239.19695
2023-06-10 10:23:25.078849500,0.018282186,-0.614811,-0.7702845,-0.097269274,0.3140243,0.16656986,96.66666666666667,0,1,0,0,0,-109.98339,-62.26845,-241.75134
2023-06-10 10:23:26.078849500,0.013873596,-0.49831268,-0.8489957,0.033053197,-0.17193037,-0.5810338,98.0,1,1,0,0,0,-103.35029,-58.150578,-245.43007
2023-06-10 10:23:27.078849500,0.041238494,-0.5305814,-0.87090033,0.08013807,-0.33679533,-0.64477324,99.33333333333333,1,0,0,0,0,-104.24468,-51.39248,-254.09196
2023-06-10 10:23:28.078849500,0.18174312,-0.47835225,-0.84627986,-0.21336891,-0.22033767,-0.109425046,100.66666666666667,1,0,0,0,0,-103.90203,-49.77282,-254.29181
2023-06-10 10:23:29.078849500,-0.07384491,-0.36346543,-0.8781029,-0.03422645,-0.2587649,-0.34794465,102.0,1,0,0,0,0,-119.905396,-49.38742,-257.75305
2023-06-10 10:23:30.078849500,-0.13518439,-0.283678,-0.9271635,-0.18724997,0.06847595,0.40710983,103.33333333333333,1,0,0,0,0,-124.00869,-42.319283,-256.26752
2023-06-10 10:23:31.078849500,-0.02048531,-0.3429823,-0.962982,0.2555601,0.071776964,0.14179917,104.66666666666667,1,0,0,0,0,-121.45529,-43.639984,-255.10684
2023-06-10 10:23:32.078849500,0.38016188,-0.4027391,-0.9205255,-0.42016724,1.1809999,0.68434507,106.0,1,0,0,0,0,-109.09904,-46.249798,-242.96667
2023-06-10 10:23:33.078849500,0.38014853,-0.3765405,-0.7765845,-0.36501414,0.40903538,1.2754681,106.0,1,0,0,0,0,-117.05656,-58.83613,-239.05249
2023-06-10 10:23:34.078849500,0.45009083,-0.323804,-0.73702866,-0.24325351,0.64097863,0.38046724,106.71428571428571,1,0,0,0,0,-127.199356,-56.288757,-252.4944
2023-06-10 10:23:35.078849500,0.5536328,-0.25746742,-0.78640795,-0.43228468,0.2714342,0.41013184,107.42857142857143,1,0,0,0,0,-124.545685,-45.282223,-260.1149
2023-06-10 10:23:36.078849500,0.585681,-0.30402833,-0.87923646,0.14500453,-0.55762774,-0.4429277,108.14285714285714,1,0,0,0,0,-126.27802,-43.806904,-263.83606
2023-06-10 10:23:37.078849500,0.011318477,-0.52608037,-0.8539795,0.44834876,-0.70834696,-0.61436975,108.85714285714286,1,0,0,0,0,-136.50684,-60.31683,-251.80511
2023-06-10 10:23:38.078849500,0.123973034,-0.41907555,-0.8813401,-0.06058456,-0.8543297,-1.4327109,109.57142857142857,1,0,0,0,0,-111.59777,-64.91588,-243.77104
2023-06-10 10:23:39.078849500,0.24744767,-0.3020073,-1.0092804,0.15707624,-0.23890479,-0.5367568,110.28571428571429,1,0,0,0,0,-99.541214,-49.670647,-248.49837
2023-06-10 10:23:40.078849500,0.20066833,-0.31218156,-0.89141077,-0.0748174,-0.1546152,-0.15205699,111.0,1,0,0,0,0,-103.76428,-45.154827,-248.39514
