,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z,acc_x_lof,acc_y_lof,acc_z_lof,gyr_x_lof,gyr_y_lof,gyr_z_lof,hr_bpm_lof,mag_x_lof,mag_y_lof,mag_z_lof,loc_speed_lof
2023-06-10 09:18:28.078849500,0.96264774,0.44439435,-0.1880712,-0.33169517,0.10521791,-0.6580092,77.0,0.0,1,0,0,0,0,-99.12832,-20.508276,-197.8075,0.9946868843101759,0.9758365439528597,0.9959901205958526,1.1302910934163548,0.8909545430970602,1.0165169101615328,1.0,0.974293498207644,0.9989766295612774,0.9872356188483712,1.0
2023-06-10 09:18:29.078849500,0.93010056,0.5943317,-0.08396711,-0.049118176,0.017196398,-0.34328938,,0.0,1,0,0,0,0,-107.45734,-14.070177,-199.04738,0.9845508098739058,1.0112355301325775,0.9442494062142415,0.9564480593190634,0.9766326821177429,1.8114486021612652,,0.9949843891262535,0.9135913424858219,0.9440824113513104,1.0
2023-06-10 09:18:30.078849500,0.84345704,0.6851392,-0.19371994,-0.15547767,0.01578239,-0.08736688,,0.0,1,0,0,0,0,-109.11532,-13.762822,-205.28563,1.080837034880087,0.9601902530598763,1.3059803015678426,1.0211728473389434,1.011222998096552,1.0720080057887456,,0.9184094362431714,1.2317912791659784,0.9748602519700867,1.0
2023-06-10 09:18:31.078849500,0.9371436,0.70058864,-0.20057909,0.64920926,0.5443413,0.04492343,,,1,0,0,0,0,-111.07031,-13.507593,-212.13426,0.9987518224362085,1.0366658251857512,1.0289472702738485,0.9689288545990905,1.1044422428079865,0.9246756395214182,,1.0911759934026355,1.027711020899539,1.337426640298881,
2023-06-10 09:18:32.078849500,0.8794543,0.56128347,-0.19107595,0.21106197,0.8020345,0.6509146,,,1,0,0,0,0,-113.982216,-11.74862,-225.77173,1.1202317574805982,0.9168477345291984,1.0106254785909203,1.052807144315663,1.3013660879197522,0.9810301128917469,,1.0617174740772573,1.35404059639767,1.061775840471001,
2023-06-10 09:18:33.078849500,0.9065396,0.7111937,-0.34391403,1.852124,0.83496267,-0.08287623,,,1,0,0,0,0,-111.7546,-21.723572,-236.5612,1.0550535539317352,1.0291978764279108,1.0599429343012732,7.429115034700371,1.0628240474902286,1.0756693225739733,,1.6774497446611876,0.933146734266195,1.0253014581249784,
2023-06-10 09:18:34.078849500,1.0166767,0.7350154,-0.14623839,-0.031164136,0.19332926,-0.21895681,82.0,,1,0,0,0,0,-101.28987,-24.336763,-230.14783,1.0822282008556985,1.6204547685359705,1.25105807163937,1.1984458023020452,1.6113215161649097,0.9786932306159607,1.0,1.019361552047212,1.7725457837319765,1.2007594780857587,
2023-06-10 09:18:35.078849500,0.9604358,0.62217206,-0.20249106,-0.22044508,-0.17670886,-0.4231258,,0.37,1,0,0,0,0,-95.21663,-23.441618,-226.3792,1.0995341755256918,1.1457040012443027,1.073601989999534,0.9626057901277179,1.105042329733668,1.1991123827902148,,0.8960712481149947,0.977443117985023,0.971308262907333,1.0
2023-06-10 09:18:36.078849500,0.887153,0.589751,-0.19215927,0.06789609,-0.13541797,-0.38507843,,0.37,1,0,0,0,0,-97.89455,-18.473211,-227.95694,1.356156401200154,0.95166620260172,0.9820923966935144,1.020078143701328,1.1354500106982,0.9747947632252133,,1.2526537048941413,1.2477253407007942,1.2047707071478835,1.0
2023-06-10 09:18:37.078849500,0.7919387,0.7092803,-0.095754296,0.100595854,0.054853722,-0.33496687,,0.37,1,0,0,0,0,-97.03279,-14.064558,-227.31606,1.0804889511006146,0.9822049221411708,1.003283383506153,0.9944913336090553,1.130572027572032,0.965431586537273,,0.9690185489260921,0.9763507926797813,0.9989000208717476,1.0
2023-06-10 09:18:38.078849500,0.7754928,0.83842623,-0.09264042,0.42599118,0.40020663,0.31903717,,0.37,1,0,0,0,0,-92.51227,-17.59282,-226.8117,0.9415564712346045,1.0989954995581879,1.0046795189961655,1.0021059337640796,1.0685792447576337,1.0654511337354737,,0.9614021466819993,0.9874969958324418,1.098474891809475,1.0
2023-06-10 09:18:39.078849500,0.749576,0.6684175,-0.027229004,-0.66622823,-0.35941315,0.6248095,94.0,0.37,1,0,0,0,0,-89.43451,-28.05948,-231.72102,1.19793404305039,1.638896341879063,0.9926747076213839,1.0683110454159364,1.2009284255970234,1.0398797577259535,1.0,0.9166601529863267,1.0148792748447777,1.2631439469299797,1.0
2023-06-10 09:18:40.078849500,0.97444844,0.6897546,-0.04899258,-0.45610836,-0.4728938,-0.9163982,,0.37,1,0,0,0,0,-101.910965,-9.021771,-242.7235,0.9930407334862732,1.0868937954433144,0.9210363485706629,0.9843522985230074,1.184750415520865,1.104035537340653,,1.400796807973383,0.9378005724299601,1.029255286796959,1.0
