,bpm,time
305,85.0,1686205432000000000
306,81.0,1686205437000000000
307,79.0,1686205442000000000
308,79.0,1686205446000000000
309,81.0,1686205452000000000
310,81.0,1686205453000000000
311,80.0,1686205458000000000
312,80.0,1686205463000000000
313,80.0,1686205471000000000
314,79.0,1686205477000000000
315,79.0,1686205481000000000
316,78.0,1686205487000000000
317,79.0,1686205490000000000
318,79.0,1686205494000000000
319,81.0,1686205499000000000
320,82.0,1686205503000000000
321,89.0,1686205512000000000
322,88.0,1686205514000000000
323,85.0,1686205522000000000
324,82.0,1686205527000000000
325,81.0,1686205529000000000
326,77.0,1686205537000000000
327,76.0,1686205538000000000
328,72.0,1686205547000000000
329,73.0,1686205548000000000
330,73.0,1686205556000000000
331,74.0,1686205558000000000
332,76.0,1686205563000000000
333,77.0,1686205572000000000
334,76.0,1686205576000000000
335,73.0,1686205582000000000
336,72.0,1686205584000000000
337,73.0,1686205590000000000
338,75.0,1686205597000000000
339,74.0,1686205598000000000
340,77.0,1686205603000000000
341,79.0,1686205608000000000
342,74.0,1686205617000000000
343,77.0,1686205622000000000
344,76.0,1686205625000000000
345,80.0,1686205632000000000
346,80.0,1686205633000000000
347,80.0,1686205641000000000
348,80.0,1686205643000000000
349,80.0,1686205648000000000
350,79.0,1686205653000000000
351,83.0,1686205658000000000
352,80.0,1686205667000000000
353,78.0,1686205672000000000
354,76.0,1686205677000000000
355,72.0,1686205682000000000
356,72.0,1686205686000000000
357,73.0,1686205688000000000
358,75.0,1686205693000000000
359,76.0,1686205698000000000
360,79.0,1686205703000000000
361,84.0,1686205708000000000
362,90.0,1686205713000000000
363,94.0,1686205722000000000
364,94.0,1686205727000000000
365,95.0,1686205728000000000
366,103.0,1686205736000000000
367,103.0,1686205738000000000
368,105.0,1686205747000000000
369,105.0,1686205748000000000
370,105.0,1686205757000000000
371,105.0,1686205761000000000
372,104.0,1686205763000000000
373,105.0,1686205768000000000
374,105.0,1686205777000000000
375,105.0,1686205778000000000
376,105.0,1686205783000000000
377,105.0,1686205792000000000
378,105.0,1686205793000000000
379,99.0,1686205802000000000
380,97.0,1686205805000000000
381,98.0,1686205808000000000
382,101.0,1686205814000000000
383,97.0,1686205822000000000
384,95.0,1686205825000000000
385,92.0,1686205828000000000
386,90.0,1686205837000000000
387,89.0,1686205838000000000
388,89.0,1686205843000000000
389,91.0,1686205848000000000
390,96.0,1686205862000000000
391,95.0,1686205865000000000
392,95.0,1686205868000000000
393,97.0,1686205873000000000
394,99.0,1686205885000000000
395,94.0,1686205895000000000
396,93.0,1686205902000000000
397,94.0,1686205903000000000
398,94.0,1686205908000000000
399,95.0,1686205914000000000
400,94.0,1686205920000000000
401,96.0,1686205927000000000
402,96.0,1686205929000000000
403,98.0,1686205933000000000
404,98.0,1686205939000000000
405,98.0,1686205944000000000
406,98.0,1686205948000000000
407,97.0,1686205953000000000
408,97.0,1686205961000000000
409,97.0,1686205964000000000
410,98.0,1686205970000000000
411,97.0,1686205976000000000
412,97.0,1686205982000000000
413,96.0,1686205985000000000
414,95.0,1686205989000000000
415,95.0,1686205993000000000
