time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1686246754999969000,338.6439689941406,43.533756201155484,1.3675168671717586,-1,52.35692658230727,0.9437560485675931,-1,4.838987327202485,3.22625768964021,4.898958555067248,0.367518210469739
1686246755999968300,339.6439682617187,43.57511153072119,1.475899805092269,70.1389316992983,52.356929068009734,0.985111378133297,266.8173804815785,4.817186066396243,3.2587199073419506,4.898923386739959,0.8009052941423119
1686246756999968000,340.6439680175781,44.22628879826516,1.1150930157310563,33.46744898740767,52.35693815705297,1.6362886456772685,271.0300967092004,4.799124903450931,3.285260597557815,4.898890598473753,1.0251498940309705
1686246757999968000,341.6439680175781,44.4683439116925,1.3463252861926192,51.36972731985452,52.35695569480649,1.8783437591046095,283.07175531792694,4.787363858440864,3.302375557032094,4.898866495006531,0.8942190013815863
1686246758999968500,342.6439685058594,44.362110529094934,1.3204031030950238,53.26143761818699,52.35697754108922,1.7721103765070438,307.5236353264626,4.782675869381455,3.309161307827889,4.898845476699836,0.994468212745095
1686246759999968000,343.6439680175781,44.64763577282429,1.2968814133176272,48.70152804425626,52.356995093684944,2.057635620236397,315.4567357985946,4.7807759102567084,3.3119056038326304,4.898825859659632,1.0938545263922104
1686246760999968000,344.6439680175781,44.55529411509633,1.2680004538656866,48.36801558443198,52.35700774871218,1.96529396250844,314.5079949674987,4.777894558564953,3.3160610096957277,4.898803085609015,1.0796915360869548
1686246761999967000,345.6439670410156,44.573679498396814,1.275347357384083,54.96399520716912,52.357024021871126,1.9836793458089232,315.57113210813395,4.7749641115395205,3.3202793205238668,4.898781421163066,0.966325445128665
1686246762999967500,346.6439675292969,44.51786538399756,1.2555161021875656,52.74087950417139,52.357038173543195,1.927865231409669,321.06767606633525,4.779309254822753,3.3140217379423476,4.898764228855077,1.027581485270263
1686246763999967000,347.6439670410156,43.90121506433934,1.2069467520755752,50.01237611867392,52.35705654200575,1.311214911751449,334.61811588833007,4.785950146459484,3.3044240388293495,4.898755592432263,1.070935886811823
1686246764999967200,348.64396728515624,43.38929927442223,1.205996829944337,46.9596775867651,52.35706872304008,0.7992991218343377,331.9354799631013,4.791766375715457,3.2959842283226393,4.898739250822404,1.1352813401682162
1686246765999966700,349.643966796875,43.822296909056604,1.2100741399273747,42.39266701761167,52.35708678707732,1.2322967564687133,335.4007987402855,4.79832779418847,3.2864247157522484,4.898729540404501,1.3378643671484647
1686246766999966000,350.64396606445314,43.53503869380802,1.2290182338990854,45.31247918343957,52.357098579615126,0.9450385412201285,330.93025437201453,4.804149443577484,3.2779086559211783,4.898717522292962,1.258226045280759
1686246767999966500,351.64396655273435,43.5520085580647,1.2392507711206218,46.78672868537534,52.357108955048346,0.9620084054768085,330.4962137865042,4.8132395719462755,3.2645461944716403,4.898707616730479,1.2362772083929927
