,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 09:50:26.078849500,-0.17964508,-0.03601409999999999,-0.9293120999999999,0.22351643,0.17393175,0.5305199,,,1,0,0,0,0,-135.74673,-55.205475,-263.83105
2023-06-10 09:50:26.578849500,-0.09872803,-0.04593933,-1.0594993000000001,0.51607525,0.25985389999999997,1.4986573,,0.22385123,1,0,0,0,0,-142.45387,-56.44025799999999,-260.78107
2023-06-10 09:50:27.078849500,-0.19785355,-0.029813495,-1.048944,-0.044088796,0.10645679400000001,-0.42089117,,,1,0,0,0,0,-145.21025,-44.001102,-263.94382
2023-06-10 09:50:27.578849500,0.20882507,-0.26871672,-0.93084806,0.20730178,0.68412644,-0.5527746,,0.1870499,1,0,0,0,0,-130.77228,-59.48516,-259.26712000000003
2023-06-10 09:50:28.078849500,0.36458892,-0.13621064,-0.8316396999999999,-1.1480235,0.21037135,0.8171965999999999,,,1,0,0,0,0,-123.48700000000001,-47.780640000000005,-263.2805
2023-06-10 09:50:28.578849500,0.95084524,0.5060394,-0.41245878,2.2011203999999998,2.509827,-2.2765017000000003,,0.09556411,1,0,0,0,0,-101.20297,-34.361874,-245.05254
2023-06-10 09:50:29.078849500,0.9681192,0.54328185,-0.029100953,-2.7184183999999996,-1.8538328000000002,1.6194544,,,1,0,0,0,0,-89.04735,-25.50235,-234.12256000000002
2023-06-10 09:50:29.578849500,0.50681335,-0.06714386,-0.77905947,0.5198903,-1.8499608,1.3057956,,0.31226128,1,0,0,0,0,-123.16933999999999,-36.794903000000005,-257.93616000000003
2023-06-10 09:50:30.078849500,0.05008682,-0.32036045,-0.8724347,0.0840278,0.7870914999999999,1.3364569,,,1,0,0,0,0,-134.67078,-37.561207,-256.03463999999997
2023-06-10 09:50:30.578849500,0.32457579999999997,-0.14150177,-0.60755277,0.18969801,1.7824422999999998,-0.60817564,,0.348476,1,0,0,0,0,-113.51763000000001,-33.86312,-255.14941000000002
2023-06-10 09:50:31.078849500,1.1763773000000002,0.7133925999999999,-0.30270875,0.084911995,0.48840854,-2.1661801,,,1,0,0,0,0,-110.308205,-4.018733,-237.46822000000003
2023-06-10 09:50:31.578849500,0.7393618000000001,0.47482643,-0.17449142,-0.07463187,0.28956503,1.2580556,,0.6027566999999999,1,0,0,0,0,-102.52036,-9.539672,-241.43398
2023-06-10 09:50:32.078849500,1.0866034,0.25289032,-0.14930847,-1.1422917,-0.32696366,-0.18475160000000002,,,1,0,0,0,0,-98.8568,-9.721929,-237.56442
