,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z,pca_1,pca_2,pca_3,pca_4
2023-06-10 09:18:27.078849500,0.982155996243146,0.4525994439787388,-0.20444033057242303,-0.11122988514794,-0.21933550724052098,-0.15143938681854693,77.16666666666667,0.0,1,0,0,0,0,-100.69148114322866,-17.083230992039173,-200.2262279623828,-0.16832272961129005,0.09338899060205913,-0.3228781029487323,0.2577246038798527
2023-06-10 09:18:27.578849500,0.9501564583966265,0.4805088923113622,-0.2432250097921372,-0.11088173494385857,-0.10165834632902278,-0.16081263496007384,77.0,0.0,1,0,0,0,0,-100.5547926918933,-17.122308899298627,-200.2909071576548,-0.1661074127457872,0.08263713263352862,-0.3244484368117812,0.2449173476270582
2023-06-10 09:18:28.078849500,0.9598702121022658,0.5085030977707544,-0.218342189907743,-0.09577974207224252,0.14760461219707924,-0.2666276069541773,77.0,0.0,1,0,0,0,0,-100.09631174429566,-19.094633183998088,-199.28907964217296,-0.17509081203074356,0.08633238447617385,-0.3181189596349538,0.2544387538599201
2023-06-10 09:18:28.578849500,0.973284648776878,0.5274839515794537,-0.16199404160530909,-0.03610038850910833,0.31227557020609015,-0.37523005323357095,77.0,0.0,1,0,0,0,0,-100.62882022986935,-20.322820639369368,-197.8145923659774,-0.19251213830799707,0.08639775796594243,-0.30518539516878235,0.26961159130164014
2023-06-10 09:18:29.078849500,0.9513186037101398,0.5519851495040784,-0.12277076943281441,-0.001400883902503536,0.23620374853216755,-0.2989603087329594,77.41666666666667,0.0,1,0,0,0,0,-103.15312463151295,-18.281506995996978,-198.1324551711264,-0.21202554270645685,0.06307331705380503,-0.29509602388185296,0.2601247010035661
2023-06-10 09:18:29.578849500,0.9013832957131542,0.5999721592358964,-0.1296377723280383,0.01773827725053304,0.010618666286904123,-0.050618026234293734,77.83333333333333,0.0,1,0,0,0,0,-106.94571827536596,-14.224740824722726,-200.9036683754154,-0.226041998538067,0.02050869903893003,-0.29577262023383094,0.2208151650662498
2023-06-10 09:18:30.078849500,0.865911083504484,0.6635917184086054,-0.1700144779620829,0.08969251644778488,-0.11869716358465092,0.11787337180435574,78.25,0.0,1,0,0,0,0,-110.12037942220392,-11.719500222935716,-204.24936788451708,-0.23043141639890147,-0.01651688795434105,-0.3051349757735015,0.17817680924624738
2023-06-10 09:18:30.578849500,0.8736969532023348,0.7026343932188477,-0.19961935160700842,0.19177531074014728,0.0018563099924526851,0.02733301181355822,78.66666666666667,0.0,1,0,0,0,0,-111.5493956405508,-12.061937872950322,-206.37064728144222,-0.22607504955839314,-0.028918191328124423,-0.3139266428175893,0.1587813332403108
2023-06-10 09:18:31.078849500,0.9115322147871583,0.6782252714742596,-0.18576891106728147,0.23331324498041917,0.31598775600768886,-0.17920232231560204,79.08333333333333,0.037,1,0,0,0,0,-111.86582923906178,-12.920772425950394,-208.28896383679356,-0.2139584382417684,-0.019032599822906615,-0.3149510439778515,0.1557994367483002
2023-06-10 09:18:31.578849500,0.9402162156663515,0.6001102717558798,-0.14816987385570396,0.25066123191715645,0.6565166834976089,-0.20937866267969554,79.5,0.074,1,0,0,0,0,-112.42729737386438,-12.091541542156932,-212.95190186568195,-0.18778243637474287,-0.010081270662280067,-0.31657523704552387,0.1414383913771035
